name;coordinates
00159703-7d3c-43fa-9e8f-733416ab9ac3.JPG;[[0.2603066728734853, 0.18685914691748118], [0.7431161449666303, 0.17389781880759808], [0.7517570303732191, 0.6577874015765667], [0.27002766895589764, 0.662107844279861]]
00a2be00-e7af-453b-a219-48db6e434dd8.JPG;[[0, 0], [0.9940466869517885, 0], [0.9940466869517885, 0.9918904034659929], [0.002156283485795637, 0.9897341199801972]]
013d7cfa-f904-476c-9704-5ddfdc8f823c.JPG;[[0.05812807881773399, 0.09359605911330049], [0.8719211822660099, 0.08078817733990148], [0.8719211822660099, 0.8827586206896552], [0.07389162561576355, 0.8886699507389163], [0.05812807881773399, 0.09359605911330049]]
0194b95d-5b69-4cd5-94d7-653136a6b819.JPG;[[0.09659228765293602, 0.10320819776615082], [0.746274660770629, 0.1071777438340797], [0.7423051147027001, 0.7515673888612009], [0.07674455731329163, 0.7396587506574143]]
019ff607-9be8-4f4f-888a-0be9f6214d65.JPG;[[0.02561576354679803, 0.023645320197044337], [0.9783251231527094, 0.024630541871921183], [0.9773399014778326, 0.9753694581280788], [0.023645320197044337, 0.9743842364532019], [0.02561576354679803, 0.023645320197044337]]
01d4d003-71af-4d1a-a8e7-98c781211928.JPG;[[0.125, 0.13671875], [0.86328125, 0.1328125], [0.859375, 0.85546875], [0.12109375, 0.85546875], [0.125, 0.13671875]]
01d732d0-4f44-4fda-8bce-40fc301247e6.JPG;[[0.0390625, 0.09375], [0.875, 0.09375], [0.8515625, 0.91796875], [0.0390625, 0.91015625], [0.0390625, 0.09375]]
020aabd6-7318-4377-948f-da3b84ea3298.JPG;[[0.16283063263690173, 0.2859464768257786], [0.6175649603667858, 0.2859464768257786], [0.6175649603667858, 0.734723586288459], [0.1668021114817042, 0.734723586288459]]
0229bd9c-1190-40fe-9583-1b7e3c4c3592.JPG;[[0.14555002249072552, 0.12834865619636704], [0.8627146787632094, 0.12570229215108114], [0.8627146787632094, 0.8468364944914939], [0.1429036584454396, 0.8415437664009221]]
02c5e4a4-8ccb-484d-b4e6-4b75a09bde15.JPG;[[0.04403866809881848, 0.0397422126745435], [0.9484425349087003, 0.04618689581095596], [0.920515574650913, 0.9312567132116004], [0.061224489795918366, 0.9258861439312567], [0.04403866809881848, 0.0397422126745435]]
